title,label
1925的接線生問我「想不想自殺」？,1
不敢唱歌（有音檔,1
好想確診憂鬱症,1
老闆詐騙😡,1
霸凌的人到底是什麼心態,1
生日快樂,1
關於婆婆 我壓力很大,1
生活累了,1
新的詐騙手法,1
剛搬進來第二天早上，就跟房東有糾紛。,1
被蔡英文背叛,1
醒來發現床上的我正在大哭,1
亮子亮子亮子,1
有沒有覺得直接殺人比把人騙去殺好太多了,1
跟憂鬱症朋友如何相處,1
真的好想走  今天在家試著上吊,1
如果陌生男子跟妳說他來自未來,1
嚴重焦慮到無法工作,1
= =,1
長大以後 有一種感嘆,1
奧客與菜菜同事,1
被性侵的我 只能等待不公-正義沒有遲來 是從來不曾到過,1
包養閒聊6-女生注意事項,1
好像不太適合活著,1
長大後發現家人不是想像的美好,1
才國中的弟弟為了一張發票不跟我講話好幾天了,1
沒用ig的人會很奇怪嗎？,1
女性平權，她說的合理嗎？,1
女生用鼻環跟唇環真的好看嗎,1
柬埔寨,1
自以為是⋯,1
交友軟體遇到噁男的神奇經歷,1
請大家幫忙一起停止神豬比賽！,1
處女的定義,1
重度憂鬱症-111個擁抱-35歲生日,1
男友愛車愛得好誇張 🥲,1
爸爸故意把醬油倒在書房裡,1
嫖妓和約炮有差別嗎？,1
情侶出遊規劃溝通問題,1
男友出軌,1
🐐摩男🦁️獅女戀愛那些小事,1
男生告白被拒絕時聽到怎樣的話會比較不難過,1
這樣擇偶標準會很高嗎,1
大家會同時有很多曖昧對象嗎,1
婚前守貞不失為篩選好男人的方法,1
很開心妳好起來了,1
女友希望三人行,1
渣人的特點 歡迎指教補充,1
被說意淫女友朋友,1
她原來一直都知道（文長慎入）,1
水瓶男有沒有這麼難懂？,1
單戀好痛苦哦🥲,1
兩個曾經因為感情受傷的人能不能有未來？,1
當對對方說出的話不再抱有期待的時候？,1
我也終於放下,1
這就是愛嗎?,1
好難再相信愛情,1
男生好容易被誣衊,1
找別人女友搞速食愛情,1
 柬浦寨皮皮忘恩負義黑救援團隊白眼狼,1
女友這樣性慾算強嗎？,1
還沒表白就被拒絕,1
曖昧對象是台女立刻下船,1
#問 跑船男友，我還能愛下去嗎？,1
男生160 價值低端 扣分到死 社會死亡,1
十六歲那年，有個女孩走入了我的生命之中（7）,1
沒有純友誼,1
別難過了,1
女星老公是人蛇集團首腦？,1
李茂生,1
不要再說胸小看不到了,1
被告妨害風化…,1
父親節送過什麼給老爸,1
可以不要繼續報導柬埔寨事件了嗎？,1
姓方的小孩可以怎麼取名呢？,1
要是性別對調,1
ㄧ般人民,1
姓「劉」的小孩該怎麼取名啊？,1
學妹味道很香,1
取名文超煩==,1
朋友婚禮後的行為 讓我蠻傷心的,1
最特別砲友為什麼要刪文,1
柬埔寨🇰🇭,1
被阿伯用色瞇瞇的眼神看,1
〈一袋米要扛幾樓〉奪第24屆臺北文學獎現代詩組首獎,1
#求高調 Bump因為被抹黑不救詐騙了,1
確診後喉嚨痛幾天,1
沒用的從來不是大學,1
8/16 台北夜店,1
海底撈京站店,1
美國又來台灣亂了🥵🥵🥵,1
請問也有人收到防疫補助申請簡訊嗎？,1
疑似人蛇集團,1
請問姓林的呢._.？,1
台灣房價多貴,1
真的什麼都有可能,1
應該是我們要反抗吧？,1
請問這女生是誰?,1
詐騙/柬埔寨/\檢討\受害者？,1
學歷只能代表會讀書，不代表能有錢,1
多少年輕人知道星爺梗？,1
娃娃機市場現況,1
不知道要怎麼救國三的弟弟(文略長),1
楊子儀快40了？？？,1
這是什麼台式糕點,1
這個帳號是不是詐騙？,1
姓龔的小孩如何取名？,1
詐騙之柬埔寨詐騙新招？掌握人性弱點 一話術拐整團,1
弟弟是8+9,1
好想死...,1
我也好想擁有健康快樂的家,1
追隨女友也踏上雷射除毛的路了,1
因為積極，所以自殺,1
有人機車考三次才過的嗎😎,1
國小學生在上課時摸下體,1
19歲會水逆 那20呢？,1
成長 從來不是什麼舒服的感覺,1
= =,1
男友姐姐的小孩,1
長大以後 有一種感嘆,1
奧客與菜菜同事,1
身邊有人自殺嗎,1
支持你你也罵我台男？,1
可以跟我說🎂生日快樂嗎,1
真的是甚麼樣的人去什麼樣的柬埔寨...,1
媽媽很愛你，你知道嗎？,1
紀錄我的憂鬱症（文超級長）,1
我想被賣到KK園區,1
女生母胎25歲以上還有機會嗎,1
我是我家出了名的不孝子 😗,1
男友愛車愛得好誇張 🥲,1
爸爸故意把醬油倒在書房裡,1
內向的男孩,1
愛貶低別人的長輩,1
請幫忙分享 不要讓性侵犯逃過制裁！,1
愛撒嬌的孩子有糖吃,1
覺得自己很沒用 壓力好大,1
希望妳能看到這個訊息,1
求解第一次和男友做都是怎麼開始🥲🥲,1
女友希望三人行,1
我也終於放下,1
心被抽空的感覺,1
自我的時代,1
謝謝你珍惜過我,1
若是我們重活一遍，我依然愛你,1
交友軟體,1
難道是犯賤心態作祟嗎,1
互相喜歡卻不能在一起,1
解開誤會了…還能在一起嗎,1
好想你…,1
喜歡上有男友的女生,1
你知道你在說什麼嗎,1
關於愛⋯,1
很愛男友但….,1
懦弱,1
還不想跟男友做,1
碩士生下藥猥褻愛慕的女孩 法官認為「顯可憫恕」輕判免入獄,1
哪些外表形容詞，已經聯想不到醜了,1
想問字體,1
我爸要我叫我的男友叔叔,1
dcard 屁事好多喔,1
眼肉芽影片說NanaQ是極簡腦🤣🤣🤣🤣🤣,1
用筷子吃洋芋片很怪嗎,1
姓「韋」的小孩怎麼取名啊,1
真的有人會在來來超商取火車票嗎,1
真的什麼都有可能,1
上班下班時的絲襪妹,1
蔡英文無能照顧農民,1
台灣什麼時候才要大掃黑？治安淪喪到在醫院內行刑式開槍,1
台灣人的休閒活動只剩吃吃喝喝？,1
經常被已讀不回？3招教你如何擺脫句點王！,1
希望大家重視憂鬱症,1
爸爸外遇,1
有人今天不能抽卡的嗎？,1
奶茶≠茶？你們覺得奶茶是茶嗎？,1
應該是我們要反抗吧？,1
考古日記 Day23 我挖到沒人看過的文物碎片😎｜阿爾卑斯山上的羅馬鎮,1
散播好運🍀,1
捕獲野生的呂政儒,1
艾成事件好奇性別對調風向會是怎麼樣,1
會插手阻止包養妹要被騙去柬埔寨嗎？,1
覺得艾成自殺很有勇氣,1
灰姑娘體重🙄,1
真•雙標黨,1
綠吱開始對Bump進行學歷和外貌羞辱,1
姓「高」的小孩取什麼名字好？,1
田馥甄演唱會-回程交通工具推薦！！！,1
台灣小吃英文介紹Introduction to Taiwanese Snacks in English,1
大家知道蝦皮可以幫忙安裝馬桶嗎,1
跟我槓上？喔是喔。,1
家裡的復古玩具,1
覺醒的大陸地區人民，不畏中共強權,1
“記得找我ㄧ塊錢”,1
恐怖聲音？,1
詐騙人到柬埔寨比酒駕可惡,1
只要警察預算被地方限制的一天，永遠別期待治安變好,1
一定要出事才來處理嗎？,1
你，願意當他那個重要的人嗎？,1
非常律師ep3-自閉症家屬的理想與現實,1
你們懂那種感覺嗎？,1
台灣真的不要廢除死刑,1
我是服務生，不是狗,1
心情不好都做什麼？,1
高中同學被騷擾，教官卻想壓下來？,1
近年台灣治安是不是越來越糟糕了？,1
為台南的警察感到嘆息,1
像交友軟體的駕訓班~,1
23歲想找乾爹包養 錢的壓力太大怎麼辦,1
到底為什麼不行啊,1
大學擔心交不到朋友,1
跳躍吧！人生～,1
選擇比努力重要,1
爸媽對我很好，但我不喜歡他們,1
有人跟我一樣覺得生活很無聊的？,1
大家可以幫幫我嗎,1
謝謝你 盜錄仔,1
問 如何拿捏與異性相處的分寸,1
沒什麼朋友,1
台北女生不會騎車開車真的不行嗎？,1
表姐要和身心障礙的表哥搶財產,1
一直沒有很好的朋友⋯,1
世界不是想像中的美好,1
注意力不集中過動症,1
文長…慎入…負能量！…,1
攝理教會的近況\n為什麼這幾個月鄭明析消失了！,1
真的是會被好奇心害死,1
罪己列表,1
選課！！！亞洲大學學生請進,1
來自患者和同為自殺者家屬的自白,1
不能承認自己有精神疾病又被逼婚，作人好難,1
想揪美眉一起去桃園男模會館,1
我終於慢慢忘了那位無緣的朋友,1
大家都說我走的是死路 但只有我知道我已經盡力往前走了,1
靠北媽媽沒生雞🐔給他的 #普信男,1
怎麼面對沒朋友這件事,1
急問！有確診疑慮還可以打疫苗嗎🥺,1
就只想打這段話,1
待業一個月算慘嗎？,1
沒發限動被朋友酸,1
關於家人偏心這件事,1
容易當情緒的受氣包,1
窮的階級複製-沮喪、茫然,1
好想體驗看看做愛,1
我作了一個夢,1
最近回鍋迪卡的心情……,1
生不帶來死不帶去,1
暈船後得知某些事情 是不是該下船了,1
吃醋要說嗎,1
渣男標籤,1
母胎單身真的好想脫單⋯⋯,1
一段逆天的感情,1
男友好像躁症，怎麼提分手,1
我想交壞壞的男生當男友,1
情人節被要錢,1
跟前任還有聯絡,1
在異地應該追求嗎,1
聽過有人說,1
找人聊天,1
該跟正宮說她老公在用交友軟體約砲嗎,1
不算出眾 但我還是好想跟她走到最後,1
暫時分開一陣子,1
悲傷來的措手不及,1
祝福每個女孩都值得被愛,1
愛你的 還是 你愛的,1
一直都是偶爾被需要,1
你還真當我白癡,1
易暈體質怎麼辦,1
集氣本篇女方出來公佈原po這個人渣 我們挺妳啊！！！,1
以結婚為前提交往的騙局（一）,1
大家都多久分手啊,1
分享職軍演習中被提的分手,1
有另一半還玩交友軟體的心態是怎樣,1
被塑造成不懂感激的拜金女形象,1
女朋友有自殺傾向,1
會跟相處中的女生坦白自己的過去史嗎？,1
那女孩對我說,1
跟女友交往久了，有時沒話題,1
男友說性行為很空虛,1
為什麼忘不了?,1
我被分手了,1
與女友的文化衝突,1
遠距離分手,1
請找年輕一點的女生,1
兩情相悅是什麼感覺？,1
感覺雙方的愛不平等,1
瀕臨分手,1
台中狼師 最新進展有其他受害人出現！,1
周杰倫冷門好聽歌曲,1
新世界聖戰軍 正妹精選 日行一善 Day78,1
關於員警被殺事件,1
姓史可以叫什麼？,1
快訊／追竊盜通緝遭割頸！台南兩警雙雙宣告不治,1
在夢時代遺失學生證的同學,1
熱情的阿嬤跟不太能吃的孫女,1
不要再佔位了好不,1
辦公室訂飲料被要紅利點數錢,1
